property_code,property_id,stay_date,banked_ooo,banked_other,blocks_ooo,blocks_other,di_oos,di_capacity,ooo_source
DP,44199,2026-07-16,7,1,2,1,3.00,153,cloudbeds
DP,44199,2026-07-17,4,1,4,1,5.00,153,cloudbeds
DP,44199,2026-07-18,3,1,3,1,4.00,153,cloudbeds
DP,44199,2026-07-19,2,1,2,1,3.00,153,cloudbeds
DP,44199,2026-07-20,2,1,2,1,3.00,153,cloudbeds
DP,44199,2026-07-21,2,3,2,1,3.00,153,cloudbeds
DP,44199,2026-07-22,3,1,3,1,4.00,153,cloudbeds
DP,44199,2026-07-23,2,1,2,1,2.98,153,cloudbeds
DP,44199,2026-07-24,1,2,1,2,3.00,153,cloudbeds
DP,44199,2026-07-25,1,2,1,2,3.00,153,cloudbeds
DP,44199,2026-07-26,1,2,1,2,3.00,153,cloudbeds
DP,44199,2026-07-27,3,0,3,0,3.00,153,cloudbeds
DP,44199,2026-07-28,3,0,3,0,3.00,153,cloudbeds
DP,44199,2026-07-29,4,1,3,0,3.00,153,cloudbeds
DP,44199,2026-07-30,3,1,2,0,2.00,153,cloudbeds
DP,44199,2026-07-31,3,1,3,1,4.00,153,cloudbeds
DP,44199,2026-08-01,2,1,2,0,2.00,153,cloudbeds
DP,44199,2026-08-02,6,0,6,0,6.00,153,cloudbeds
DP,44199,2026-08-03,1,1,1,0,1.00,153,cloudbeds
DP,44199,2026-08-04,2,0,2,0,2.00,153,cloudbeds
DP,44199,2026-08-05,2,0,2,0,2.00,153,cloudbeds
LL,4645,2026-07-16,4,2,3,1,4.00,157,cloudbeds
LL,4645,2026-07-17,2,1,2,1,3.00,157,cloudbeds
LL,4645,2026-07-18,3,1,2,2,4.00,157,cloudbeds
LL,4645,2026-07-19,4,1,2,1,3.00,157,cloudbeds
LL,4645,2026-07-20,3,0,2,1,2.98,157,cloudbeds
LL,4645,2026-07-21,3,1,2,1,2.98,157,cloudbeds
LL,4645,2026-07-22,3,1,2,1,2.98,157,cloudbeds
LL,4645,2026-07-23,4,1,3,1,3.97,157,cloudbeds
LL,4645,2026-07-24,4,1,2,1,2.98,157,cloudbeds
LL,4645,2026-07-25,4,1,2,1,3.00,157,cloudbeds
LL,4645,2026-07-26,4,1,2,1,3.00,157,cloudbeds
LL,4645,2026-07-27,3,1,1,1,2.00,157,cloudbeds
LL,4645,2026-07-28,3,1,1,1,2.00,157,cloudbeds
LL,4645,2026-07-29,6,1,1,1,2.00,157,cloudbeds
